"sg_sistema","sg_subsistema","diagnostico","territorio","municipio_residencia","municipio_estabelecimento","estabelecimento","procedimento","quantidade","valor","cns","sexo","idade","ano","periodo","raca_cor","autorizacao","complexidade","financiamento","rubrica_faec","cep","etnia","natureza_juridica","peso","altura","carater_atendimento","gestao","desfecho","nascimento","profissional","gestante","outros_atributos"
CIH,CR,diag_princ;diag_secun,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea,dias_perm,"","",sexo,idade,ano_cmpt,dt_inter;dt_saida;mes_cmpt,"","","","","","","",natureza,"","",car_int,gestao,"",nasc,"","",cgc_hosp;cobranca;cod_idade;espec;fonte;homonimo;morte;nacional;uti_int_to;uti_mes_to
CIHA,CIHA,diag_princ;diag_secun,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea,dias_perm,"","",sexo,idade,ano_cmpt,dt_atend;dt_saida;mes_cmpt,"","","","","","","",natureza,"","",car_int,gestao,"",nasc,"","",cgc_consor;cgc_hosp;cobranca;cod_idade;espec;fonte;homonimo;modalidade;morte;nacional;qt_proc;uti_int_to;uti_mes_to
PCE,PCE,"",sg_uf,"","","","",qt_17;qt_1a4;qt_5a16;qt_anc;qt_asc;qt_atrat;qt_aus;qt_bgla;qt_bstr;qt_bten;qt_cap;qt_ci;qt_ev;qt_exam;qt_hn;qt_nrecol;qt_out;qt_out1;qt_pesq;qt_pop;qt_pos;qt_posbgla;qt_posbstr;qt_posbten;qt_posout;qt_pred;qt_rec;qt_se;qt_tae;qt_trat;qt_tt,"","","","","",dt_comp,"","","","","","","","","","","","","","","","",id_distr;id_loc;id_uf
PNI,CPNI,"",munic,"","","","",qt_dose,"","","","",ano,"","","","","","","","","","","","","","","","","",cobert;dose;fx_etaria;imuno;pop;uf
PNI,DPNI,"",munic,"","","","",qt_dose,"","","","",ano,anomes;mes,"","","","","","","","","","","","","","","","",aband;difer;dose;dose1;dosen;fx_etaria;imuno;uf
RESP,RESP,"",codmunnot;codmunres;id_mn_resi;ufnot,codmunres;id_mn_resi;ufres,"","","",frequencia,"","",sexo,"",ano_nasc;ano_not,dt_nasc;dt_nascmae;dt_notific;dt_obito;dt_rs;dt_sintoma;dt_tc;dt_transf;dt_ult_alt;dt_uss,racacor,"","","","","","","",peso,"","","",classifin,"","",gest_diag,cefaleia;class_feto;co_seq;compriment;conjuntiv;criterio;def_audit;def_neuro;def_visual;diamcefal;dor_artic;dor_musc;edema;etiologia;exa_torsch;exa_transf;exame_rs;exame_tc;exame_uss;exant_ges;febre_ges;gravidez;hipert_gan;hist_arbov;hist_malfo;idadeges;microcefal;neurolog;pcr_z;perimcefal;prurido;regiaonot;regiaores;resul_c;resul_h;resul_s;resul_to;resul_z;rnexa_tors;rnpcr_z;rnresul_c;rnresul_h;rnresul_s;rnresul_to;rnresul_z;rnso_igg_z;rnso_igm_z;rntr_igg_z;rntr_igm_z;so_igg_z;so_igm_z;st_obito;status_not;tp_notific;tpdeteccao;tr_igg_z;tr_igm_z
SIA,AB,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,ab_anoacom,ab_dtcirg2;ab_dtcirur;ab_mesacom;ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ab_numaih;ab_numaih2;ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ab_imc;ab_pontbar;ab_prcaih2;ab_prcaih3;ab_procaih;ab_tabbarr;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,ACF,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",acf_artdia;acf_duplex;acf_flebit;acf_fremit;acf_hemato;acf_prefav;acf_pulso;acf_usocat;acf_veiavi;acf_veidia;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AD,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AM,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,am_qtdtran,"",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","",am_peso,am_altura,ap_catend,"","","","","",am_gestant;am_transpl;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
