"co_ibge","nu_ano","qt_populacao"
"110001",2000,26612
"110001",2001,26553
"110001",2002,26451
"110001",2003,26289
"110001",2004,26112
"110001",2005,25954
"110001",2006,25785
"110001",2007,25622
"110001",2008,25440
"110001",2009,25274
"110001",2010,25094
"110001",2011,24947
"110001",2012,24858
"110001",2013,24765
"110001",2014,24664
"110001",2015,24540
"110001",2016,24396
"110001",2017,24238
"110001",2018,24068
"110001",2019,23910
"110001",2020,23752
"110001",2021,23546
"110001",2022,23309
"110001",2023,23081
"110001",2024,22853
"110001",2025,22787
"110002",2000,74028
"110002",2001,75735
"110002",2002,77495
"110002",2003,79335
"110002",2004,81165
"110002",2005,83004
"110002",2006,84798
"110002",2007,86563
"110002",2008,88293
"110002",2009,90008
"110002",2010,91527
"110002",2011,92935
"110002",2012,94451
"110002",2013,95982
"110002",2014,97496
"110002",2015,98956
"110002",2016,100316
"110002",2017,101559
"110002",2018,102718
"110002",2019,103895
"110002",2020,105044
"110002",2021,105986
"110002",2022,106814
"110002",2023,107677
"110002",2024,108573
"110002",2025,109170
"110003",2000,7524
"110003",2001,7446
"110003",2002,7342
"110003",2003,7219
"110003",2004,7102
"110003",2005,6984
"110003",2006,6884
"110003",2007,6781
"110003",2008,6687
"110003",2009,6614
"110003",2010,6536
"110003",2011,6472
"110003",2012,6430
"110003",2013,6386
"110003",2014,6335
"110003",2015,6293
"110003",2016,6235
"110003",2017,6186
"110003",2018,6117
"110003",2019,6059
"110003",2020,5995
"110003",2021,5922
"110003",2022,5836
"110003",2023,5746
"110003",2024,5690
"110003",2025,5664
"110004",2000,72452
"110004",2001,73283
"110004",2002,74070
"110004",2003,74777
"110004",2004,75473
"110004",2005,76163
"110004",2006,76841
"110004",2007,77508
"110004",2008,78105
"110004",2009,78816
"110004",2010,79624
"110004",2011,80747
"110004",2012,82220
"110004",2013,83818
"110004",2014,85393
"110004",2015,86910
"110004",2016,88323
"110004",2017,89662
"110004",2018,90912
"110004",2019,92203
"110004",2020,93443
"110004",2021,94502
"110004",2022,95476
"110004",2023,96530
"110004",2024,97637
"110004",2025,98280
"110005",2000,18163
"110005",2001,18150
"110005",2002,18110
"110005",2003,18014
"110005",2004,17927
"110005",2005,17839
"110005",2006,17761
"110005",2007,17678
"110005",2008,17598
"110005",2009,17520
"110005",2010,17440
"110005",2011,17387
"110005",2012,17387
"110005",2013,17403
"110005",2014,17411
"110005",2015,17404
"110005",2016,17374
"110005",2017,17337
"110005",2018,17306
"110005",2019,17284
"110005",2020,17271
"110005",2021,17208
"110005",2022,17133
"110005",2023,17047
"110005",2024,16975
"110005",2025,16966
"110006",2000,21988
"110006",2001,21782
"110006",2002,21524
"110006",2003,21206
"110006",2004,20888
"110006",2005,20588
"110006",2006,20295
"110006",2007,20018
"110006",2008,19737
"110006",2009,19487
"110006",2010,19241
"110006",2011,19029
"110006",2012,18886
"110006",2013,18740
"110006",2014,18595
"110006",2015,18436
"110006",2016,18270
"110006",2017,18075
"110006",2018,17883
"110006",2019,17702
"110006",2020,17520
"110006",2021,17289
"110006",2022,17034
"110006",2023,16806
"110006",2024,16588
"110006",2025,16508
"110007",2000,10451
"110007",2001,10348
"110007",2002,10240
"110007",2003,10091
"110007",2004,9947
"110007",2005,9805
"110007",2006,9645
"110007",2007,9487
"110007",2008,9328
"110007",2009,9191
"110007",2010,9054
"110007",2011,8963
"110007",2012,8899
"110007",2013,8843
"110007",2014,8776
"110007",2015,8716
"110007",2016,8635
"110007",2017,8553
"110007",2018,8481
"110007",2019,8412
"110007",2020,8349
"110007",2021,8260
"110007",2022,8172
"110007",2023,8075
"110007",2024,8001
"110007",2025,7968
"110008",2000,9334
"110008",2001,9735
"110008",2002,10158
"110008",2003,10628
"110008",2004,11100
"110008",2005,11587
"110008",2006,12062
"110008",2007,12538
"110008",2008,13016
"110008",2009,13462
"110008",2010,13810
"110008",2011,13991
"110008",2012,14084
"110008",2013,14115
"110008",2014,14134
"110008",2015,14157
"110008",2016,14136
"110008",2017,14101
"110008",2018,14034
"110008",2019,13981
"110008",2020,13909
"110008",2021,13818
"110008",2022,13714
"110008",2023,13608
"110008",2024,13522
"110008",2025,13510
"110009",2000,25565
"110009",2001,25964
"110009",2002,26344
"110009",2003,26727
"110009",2004,27101
"110009",2005,27485
"110009",2006,27851
"110009",2007,28229
"110009",2008,28589
"110009",2009,28947
"110009",2010,29278
"110009",2011,29598
"110009",2012,29968
"110009",2013,30330
"110009",2014,30689
"110009",2015,31015
"110009",2016,31303
"110009",2017,31552
"110009",2018,31789
"110009",2019,32010
"110009",2020,32225
"110009",2021,32365
"110009",2022,32468
"110009",2023,32587
"110009",2024,32717
"110009",2025,32842
"110010",2000,38167
"110010",2001,38642
"110010",2002,39109
"110010",2003,39554
"110010",2004,39975
"110010",2005,40437
"110010",2006,40918
"110010",2007,41419
"110010",2008,41901
"110010",2009,42337
"110010",2010,42651
"110010",2011,42855
"110010",2012,43059
"110010",2013,43232
"110010",2014,43403
"110010",2015,43547
"110010",2016,43644
