"co_ibge","qt_populacao"
"110001",22787
"110002",109170
"110003",5664
"110004",98280
"110005",16966
"110006",16508
"110007",7968
"110008",13510
"110009",32842
"110010",43594
"110011",55682
"110012",140101
"110013",34149
"110014",16374
"110015",38684
"110018",39220
"110020",517709
"110025",20443
"110026",3767
"110028",62959
"110029",7837
"110030",109651
"110032",22305
"110033",28701
"110034",13720
"110037",12237
"110040",17467
"110045",30649
"110050",7972
"110060",4292
"110070",9095
"110080",24313
"110090",3450
"110092",10191
"110094",15877
"110100",8340
"110110",9228
"110120",6519
"110130",9657
"110140",12168
"110143",6541
"110145",4372
"110146",2309
"110147",3268
"110148",5588
"110149",17557
"110150",12965
"110155",4521
"110160",8459
"110170",11314
"110175",8220
"110180",6790
"120001",14712
"120005",8648
"120010",28028
"120013",13928
"120017",10981
"120020",98916
"120025",19874
"120030",37764
"120032",9884
"120033",20479
"120034",12923
"120035",18057
"120038",17107
"120039",11333
"120040",389001
"120042",15560
"120043",7217
"120045",22402
"120050",44049
"120060",46816
"120070",19170
"120080",17523
"130002",16806
"130006",11533
"130008",9981
"130010",18056
"130014",21781
"130020",15889
"130030",45960
"130040",18210
"130050",33722
"130060",40908
"130063",22495
"130068",26479
"130070",38792
"130080",34869
"130083",14806
"130090",18109
"130100",31130
"130110",32336
"130115",20324
"130120",73576
"130130",24572
"130140",35793
"130150",17985
"130160",28227
"130165",14344
"130170",63454
"130180",25629
"130185",68862
"130190",113917
"130195",11956
"130200",10955
"130210",9420
"130220",11093
"130230",28202
"130240",49469
"130250",111751
"130255",16211
"130260",2303732
"130270",58018
"130280",15815
"130290",66336
"130300",21251
"130310",28123
"130320",16562
"130330",25325
"130340",101855
"130350",20229
"130353",33291
"130356",25364
"130360",13947
"130370",30679
"130380",57396
"130390",35442
"130395",12338
"130400",12619
"130406",73348
"130410",20728
"130420",80137
"130423",20257
"130426",15640
"130430",19617
"130440",25965
"140002",16112
"140005",23589
"140010",485477
"140015",15570
"140017",21102
"140020",22750
"140023",12004
"140028",10937
"140030",20006
"140040",16323
"140045",23112
"140047",37787
"140050",9969
"140060",7848
"140070",16186
"150010",172344
"150013",6275
"150020",63110
"150030",40473
"150034",17596
"150040",75882
"150050",36442
"150060",138749
"150070",30247
"150080",509227
"150085",35638
"150090",47912
"150095",24193
"150100",19380
"150110",35147
"150120",56850
"150125",4290
"150130",139076
"150140",1397315
"150145",19075
"150150",68962
"150157",19129
"150160",12961
"150170",132489
"150172",27130
"150175",6966
"150178",47066
"150180",116058
"150190",25065
"150195",19223
"150200",25467
"150210",144859
"150215",89524
"150220",75309
"150230",60318
"150240",209126
"150250",21501
"150260",13625
"150270",47144
"150275",28270
"150276",15150
"150277",20975
"150280",36814
"150285",14954
"150290",44880
"150293",62823
"150295",29287
"150300",9167
"150304",18595
"150307",25558
"150309",26703
"150310",34137
"150320",37925
"150330",69446
"150340",10784
"150345",29264
"150350",32740
"150360",135369
"150370",52201
"150375",26579
"150380",37726
"150390",54255
"150400",32088
"150405",37473
"150410",8439
"150420",290975
"150430",27129
"150440",28159
"150442",119437
"150445",28677
"150450",30080
"150460",28903
"150470",91760
"150475",25818
"150480",64002
"150490",49648
"150495",21304
"150497",14400
"150500",13175
"150503",37054
"150506",63796
"150510",55527
"150520",36734
"150530",72889
"150540",18783
"150543",35252
"150548",43741
"150549",7063
"150550",113498
"150553",305771
"150555",7354
"150560",8686
"150563",13366
"150565",18510
"150570",25736
"150580",67580
"150590",44121
"150600",38733
"150610",11379
"150611",11838
"150613",92694
"150616",19190
"150618",57031
"150619",37198
"150620",48663
"150630",25687
"150635",22530
"150640",7626
"150650",79195
"150655",21295
"150658",17065
"150660",25815
"150670",30455
"150680",360871
"150690",6355
"150700",29234
"150710",17258
"150715",21555
"150720",32554
"150730",64651
"150740",15429
"150745",24929
"150746",4470
"150747",21477
"150750",14293
"150760",55970
"150770",27651
"150775",6212
"150780",24989
"150790",25315
"150795",75290
"150796",10837
"150797",19792
"150800",73058
"150803",30494
"150805",15550
"150808",42883
"150810",96119
"150812",39360
"150815",45962
